Country Name,FDI_net_inflow_percentGDP,GDP_per_capita,ln(GDP_per_capita),Inflation_GDP_deflator_annual_percent,Trade_percent_GDP,Unemployment_percent_of_total_labor_force,manufacturing_value_added,savings_percent_gdp
Aruba,-2.232923862,31650.76054,10.36251746,4.542973456,145.0107741,,,15.4069345
Africa Eastern and Southern,1.502550458,1512.270553,7.321367478,4.456657862,50.1242823,7.121663747,10.73639425,21.13676195
Afghanistan,0.123804204,500.5226641,6.215652881,6.521479845,,11.08500004,7.043181081,
Africa Western and Central,1.56696372,1749.303317,7.466972883,1.582289576,45.77074501,4.261414006,11.30611362,21.37118218
Angola,-5.913333383,2142.238757,7.669606709,19.18427566,57.82953812,9.480999947,6.137445405,32.09564745
Albania,7.797918141,5396.215864,8.593453221,1.256589952,76.27919462,11.47000027,6.256195102,14.39660635
Andorra,,41327.50203,10.62928347,1.374753508,,,3.673689514,
Arab World,1.408061364,6384.066321,8.761560528,1.780754019,82.05259908,10.16515827,11.178007,30.16254794
United Arab Emirates,4.276339458,45376.17084,10.72274237,-3.194409409,167.3835649,2.329999924,8.867353108,
Argentina,1.485007122,9963.672506,9.206701008,49.19557906,32.63061505,9.840000153,13.54083907,13.69079548
Armenia,0.736361472,4828.505178,8.482292212,1.065622639,96.11415413,12.19999981,11.71149186,9.958147936
American Samoa,,13672.57666,9.523147402,1.7482893,156.568779,,12.36476043,
Antigua and Barbuda,7.599908818,18319.45605,9.815718946,0.208076985,139.4101647,,2.302725433,26.38342703
Australia,2.798356398,54941.43418,10.91402306,3.39772301,45.8267257,5.159999847,5.605068907,22.38537557
Austria,-2.787548839,50070.40335,10.82118536,1.546671591,107.8859975,4.489999771,16.591013,27.83986512
Azerbaijan,3.121830561,4805.753718,8.47756917,-0.241307927,85.81814541,4.849999905,5.003650963,28.57354797
Burundi,0.040556948,216.9729681,5.379772775,0.851867435,29.02621,0.870999992,,
Belgium,-3.990053721,46638.68131,10.75018555,1.761441394,164.1769161,5.360000134,12.34626916,25.10858318
Benin,1.516207809,1170.965533,7.065583929,-0.397554452,63.68133231,1.465999961,9.86572844,21.71942729
Burkina Faso,1.007346446,772.1668949,6.649200712,1.617093954,58.66416724,4.69299984,10.01852791,16.86677862
Bangladesh,0.543233594,2122.078851,7.660151477,3.658148088,31.57805128,4.381999969,21.20794173,36.35349494
Bulgaria,3.223132541,9879.334343,9.198200414,5.236781788,124.6395998,4.230000019,,24.2888103
Bahrain,3.884090323,25869.11291,10.16080498,0.08326178,141.700835,1.180999994,17.62160932,
"Bahamas, The",3.655246092,32610.48505,10.39238914,1.501262439,71.92028986,10.05099964,1.140015766,20.24793403
Bosnia and Herzegovina,2.216933539,6011.370671,8.701408067,2.6311401,95.82592829,15.68999958,12.93772661,19.07328469
Belarus,1.976877774,6837.717826,8.830209304,8.626732645,130.8504061,4.159999847,21.63990615,27.88467347
